ramzinex_pair_id,nobitex_symbol,nobitex/ramzinex
2,BTCIRT,1
11,USDTIRT,1
10,DOGEIRT,1
96,SOLIRT,1
33,ADAIRT,1
51,FILIRT,1
136,COMPIRT,1
42,ATOMIRT,1
40,CHZIRT,1
36,AAVEIRT,1
34,UNIIRT,1
3,ETHIRT,1
29,DOTIRT,1
4,XRPIRT,1
23,BCHIRT,1
25,TRXIRT,1
5,LTCIRT,1
17,BNBIRT,1
19,XLMIRT,1
21,ETCIRT,1
26,LINKIRT,1
12,BTCUSDT,1
13,ETHUSDT,1
37,AAVEUSDT,1
31,DOTUSDT,1
24,BCHUSDT,1
27,TRXUSDT,1
15,LTCUSDT,1
18,BNBUSDT,1
22,ETCUSDT,1
38,LINKUSDT,1
35,UNIUSDT,1
43,ATOMUSDT,1
257,EGLDIRT,1
258,LRCIRT,1
267,NEARIRT,1
269,CELRIRT,1
282,GRTIRT,1
283,XTZIRT,1
285,CRVIRT,1
290,OMGIRT,1
298,APEIRT,1
299,GMTIRT,1
310,USDCIRT,1
311,FLOWIRT,1
314,QNTIRT,1
318,JSTIRT,1
320,GALIRT,1
321,API3IRT,1
322,ENSIRT,1
324,SUSHIIRT,1
71,MATICIRT,1
76,EOSIRT,1
336,WOOIRT,1
337,LDOIRT,1
86,1INCHIRT,1
346,IMXIRT,1
349,STORJIRT,1
350,TIRT,1
352,BLURIRT,1
354,BICOIRT,1
355,RNDRIRT,1
358,MASKIRT,1
360,ARBIRT,1
363,MATICUSDT,1
364,MASKUSDT,1
365,LDOUSDT,1
370,GMXIRT,1
371,MAGICIRT,1
374,SNXIRT,1
376,WLDIRT,1
384,SNTIRT,1
390,GLMIRT,1
391,SKLIRT,1
141,MKRIRT,1
146,MANAIRT,1
152,ONEIRT,1
158,ADAUSDT,1
164,FILUSDT,1
170,COMPUSDT,1
176,MKRUSDT,1
218,SOLUSDT,1
224,EOSUSDT,1
230,1INCHUSDT,1
237,FTMIRT,1
238,FTMUSDT,1
239,DAIIRT,1
240,DAIUSDT,1
242,MANAUSDT,1
243,AXSIRT,1
245,AXSUSDT,1
246,SLPIRT,1
247,ENJIRT,1
248,SANDIRT,1
249,GALAIRT,1
251,DYDXIRT,1
253,BATIRT,1
255,AVAXIRT,1
61,SHIBIRT,10
39,1M_BTTIRT,1000
249,EGALAIRT,1
265,1M_NFTIRT,1000
256,1B_BABYDOGEIRT,1000
272,TONIRT,1
273,100K_FLOKIIRT,1000